"search-number","evaluation","evals-requested-so-far","numberagents*","a*","b*","c*","vision*","numberobjects*","objectstrategy*","numberpackets*","numbergroupmax*","d*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","49","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""493723221""","0","92","46","26.99073915253156","92"
"1","50","250","100","4","5.800000000000001","4.800000000000001","10","100","""byPackets""","5","1","3.6","""79256048""","0","113","56.5","33.05298776207682","113"
"1","51","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""-454594491""","0","119","59.5","34.785054261852174","119"
"1","52","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""-1164842182""","0","103","51.5","30.166206257996713","103"
"1","53","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""-2010938753""","0","123","61.5","35.939764421413045","123"
"1","54","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""-1990260354""","0","121","60.5","35.36240942017385","121"
"1","55","250","100","5.2","8.4","8.200000000000001","10","100","""byPackets""","5","1","0.4","""1848011570""","0","89","44.5","26.124700955226263","89"
"1","56","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""-1785529981""","0","115","57.5","33.63034344160047","115"
"1","57","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""-117809848""","0","130","65","37.960505792204614","130"
"1","58","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""516483652""","0","126","63","36.8057966449127","126"
"1","59","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""2105903209""","0","142","71","41.42463035441596","142"
"1","60","250","100","1","6.2","2.6","10","100","""byPackets""","5","1","4.6000000000000005","""-1659081028""","0","127","63.5","37.094473981982816","127"
"1","61","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""12456845""","0","116","58","33.91902121229326","116"
"1","62","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""38227867""","0","125","62.5","36.51711927302043","125"
"1","63","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""-1840654059""","0","111","55.5","32.47563189018293","111"
"1","64","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""763763975""","0","99","49.5","29.011491975882016","99"
"1","65","250","100","7.4","0","5.4","10","100","""byPackets""","5","1","2.6","""276437952""","0","112","56","32.76430985081175","112"
"1","66","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""1586144995""","0","106","53","31.0322412983658","106"
"1","67","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""-1518482033""","0","110","55","32.18695387886216","110"
"1","68","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""2062809340""","0","111","55.5","32.47563189018293","111"
"1","69","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""-711025830""","0","93","46.5","27.279418371121235","93"
"1","70","250","100","6.2","6.2","5.4","10","100","""byPackets""","5","1","9.4","""1625281371""","0","115","57.5","33.63034344160047","115"
"1","71","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""-875669982""","0","120","60","35.073731861133155","120"
"1","72","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""901371045""","0","149","74.5","43.445367992456916","149"
"1","73","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""-1867483716""","0","124","62","36.2284418654736","124"
"1","74","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""-1072166777""","0","118","59","34.49637662132068","118"
"1","75","250","100","9.4","9.600000000000001","8.4","10","100","""byPackets""","5","1","7.800000000000001","""-150557983""","0","105","52.5","30.743563011900015","105"
"1","76","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""1596583676""","0","124","62","36.2284418654736","124"
"1","77","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""2123464747""","0","108","54","31.609597698589372","108"
"1","78","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""-1358250933""","0","104","52","30.454884665682123","104"
"1","79","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""766166263""","0","108","54","31.609597698589372","108"
"1","80","250","100","2.4000000000000004","2.8000000000000003","7.800000000000001","10","100","""byPackets""","5","1","5.4","""-247187883""","0","137","68.5","39.98124560340761","137"
"1","81","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""1377405949""","0","125","62.5","36.51711927302043","125"
"1","82","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""786775437""","0","93","46.5","27.279418371121235","93"
"1","83","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""-633289769""","0","121","60.5","35.36240942017385","121"
"1","84","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""1363787917""","0","137","68.5","39.98124560340761","137"
"1","85","250","100","6.2","7.800000000000001","6","10","100","""byPackets""","5","1","5.4","""-1522219717""","0","109","54.5","31.898275815473163","109"
"1","86","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""-870158365""","0","133","66.5","38.82653731663435","133"
"1","87","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""-1892971664""","0","112","56","32.76430985081175","112"
"1","88","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""-878336621""","0","108","54","31.609597698589372","108"
"1","89","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""1256875312""","0","104","52","30.454884665682123","104"
"1","90","250","100","5","1.2000000000000002","2.2","10","100","""byPackets""","5","1","5.6000000000000005","""-1729831578""","0","121","60.5","35.36240942017385","121"
"1","91","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""-1317379590""","0","126","63","36.8057966449127","126"
"1","92","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""-998766746""","0","91","45.5","26.70205984563738","91"
"1","93","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""133871653""","0","142","71","41.42463035441596","142"
"1","94","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""1601423020""","0","101","50.5","29.588849251026982","101"
"1","95","250","100","7.6000000000000005","2.4000000000000004","9","10","100","""byPackets""","5","1","6.4","""-55086725""","0","155","77.5","45.17742799230607","155"
"1","96","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""818110374""","0","108","54","31.609597698589372","108"
"1","97","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""620205251""","0","103","51.5","30.166206257996713","103"
"1","98","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""825346432""","0","140","70","40.847276531000205","140"
"1","99","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""2113577297""","0","131","65.5","38.24918299781056","131"
"1","100","250","100","1.8","6.4","6.2","10","100","""byPackets""","5","1","4.4","""-590344371""","0","119","59.5","34.785054261852174","119"
"1","101","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""-700850552""","0","118","59","34.49637662132068","118"
"1","102","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""-1653554819""","0","110","55","32.18695387886216","110"
"1","103","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""958937199""","0","119","59.5","34.785054261852174","119"
"1","104","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""1330871275""","0","126","63","36.8057966449127","126"
"1","105","250","100","9.200000000000001","9.4","8.6","10","100","""byPackets""","5","1","6.800000000000001","""1210959532""","0","134","67","39.11521443121589","134"
"1","106","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""1657867688""","0","127","63.5","37.094473981982816","127"
"1","107","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""-444362255""","0","100","50","29.300170647967224","100"
"1","108","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""-1516959924""","0","143","71.5","41.71330722922842","143"
"1","109","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""-761963517""","0","122","61","35.651086939951774","122"
"1","110","250","100","10","4.2","0.8","10","100","""byPackets""","5","1","0.4","""1328315517""","0","130","65","37.960505792204614","130"
"1","111","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""-1546751715""","0","136","68","39.69256857397868","136"
"1","112","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""-718124421""","0","120","60","35.073731861133155","120"
"1","113","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""846152975""","0","101","50.5","29.588849251026982","101"
"1","114","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""-753093517""","0","99","49.5","29.011491975882016","99"
"1","115","250","100","8.4","0.2","6.2","10","100","""byPackets""","5","1","5.800000000000001","""600307574""","0","108","54","31.609597698589372","108"
"1","116","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""-1838176715""","0","111","55.5","32.47563189018293","111"
"1","117","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""-1637499352""","0","141","70.5","41.13595345517916","141"
"1","118","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""1090898723""","0","109","54.5","31.898275815473163","109"
"1","119","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""-613598530""","0","117","58.5","34.20769893849434","117"
"1","120","250","100","6.4","0","5.6000000000000005","10","100","""byPackets""","5","1","1.4000000000000001","""1542648864""","0","126","63","36.8057966449127","126"
"1","121","250","100","8.6","4","5.4","10","100","""byPackets""","5","1","9.600000000000001","""435700""","0","118","59","34.49637662132068","118"
"1","122","250","100","8.6","4","5.4","10","100","""byPackets""","5","1","9.600000000000001","""1883373681""","0","163","81.5","47.486840282335066","163"
"1","123","250","100","8.6","4","5.4","10","100","""byPackets""","5","1","9.600000000000001","""1042353969""","0","144","72","42.00198408012015","144"
"1","124","250","100","8.6","4","5.4","10","100","""byPackets""","5","1","9.600000000000001","""-2087266329""","0","142","71","41.42463035441596","142"
"1","125","250","100","8.6","4","5.4","10","100","""byPackets""","5","1","9.600000000000001","""1173371685""","0","112","56","32.76430985081175","112"
"1","126","250","100","7.800000000000001","0","5.800000000000001","10","100","""byPackets""","5","1","1.8","""1731522872""","0","136","68","39.69256857397868","136"
"1","127","250","100","7.800000000000001","0","5.800000000000001","10","100","""byPackets""","5","1","1.8","""138865873""","0","114","57","33.34166562526033","114"
"1","128","250","100","7.800000000000001","0","5.800000000000001","10","100","""byPackets""","5","1","1.8","""926447938""","0","152","76","44.31139808220905","152"
"1","129","250","100","7.800000000000001","0","5.800000000000001","10","100","""byPackets""","5","1","1.8","""991008677""","0","136","68","39.69256857397868","136"
"1","130","250","100","7.800000000000001","0","5.800000000000001","10","100","""byPackets""","5","1","1.8","""-2090434900""","0","129","64.5","37.67182855485869","129"
"1","131","250","100","6","0","4.4","10","100","""byPackets""","5","1","6.6000000000000005","""-1966495975""","0","124","62","36.2284418654736","124"
"1","132","250","100","6","0","4.4","10","100","""byPackets""","5","1","6.6000000000000005","""1149598674""","0","101","50.5","29.588849251026982","101"
"1","133","250","100","6","0","4.4","10","100","""byPackets""","5","1","6.6000000000000005","""-861840206""","0","121","60.5","35.36240942017385","121"
"1","134","250","100","6","0","4.4","10","100","""byPackets""","5","1","6.6000000000000005","""-372329416""","0","125","62.5","36.51711927302043","125"
"1","135","250","100","6","0","4.4","10","100","""byPackets""","5","1","6.6000000000000005","""-1747364518""","0","111","55.5","32.47563189018293","111"
"1","136","250","100","5.6000000000000005","6.6000000000000005","3","10","100","""byPackets""","5","1","3.4000000000000004","""-308634137""","0","100","50","29.300170647967224","100"
"1","137","250","100","5.6000000000000005","6.6000000000000005","3","10","100","""byPackets""","5","1","3.4000000000000004","""-565095012""","0","151","75.5","44.02272140611028","151"
"1","138","250","100","5.6000000000000005","6.6000000000000005","3","10","100","""byPackets""","5","1","3.4000000000000004","""1016166761""","0","121","60.5","35.36240942017385","121"
"1","139","250","100","5.6000000000000005","6.6000000000000005","3","10","100","""byPackets""","5","1","3.4000000000000004","""-2139251146""","0","131","65.5","38.24918299781056","131"
"1","140","250","100","5.6000000000000005","6.6000000000000005","3","10","100","""byPackets""","5","1","3.4000000000000004","""1747204599""","0","144","72","42.00198408012015","144"
"1","141","250","100","0.4","7.800000000000001","6","10","100","""byPackets""","5","1","5.800000000000001","""2009971337""","0","107","53.5","31.32091952673165","107"
"1","142","250","100","0.4","7.800000000000001","6","10","100","""byPackets""","5","1","5.800000000000001","""1369434686""","0","108","54","31.609597698589372","108"
"1","143","250","100","0.4","7.800000000000001","6","10","100","""byPackets""","5","1","5.800000000000001","""-384473341""","0","99","49.5","29.011491975882016","99"
"1","144","250","100","0.4","7.800000000000001","6","10","100","""byPackets""","5","1","5.800000000000001","""-1611996052""","0","104","52","30.454884665682123","104"
"1","145","250","100","0.4","7.800000000000001","6","10","100","""byPackets""","5","1","5.800000000000001","""2077279964""","0","103","51.5","30.166206257996713","103"
"1","146","250","100","3.4000000000000004","5.4","0.2","10","100","""byPackets""","5","1","10","""-1715751507""","0","117","58.5","34.20769893849434","117"
"1","147","250","100","3.4000000000000004","5.4","0.2","10","100","""byPackets""","5","1","10","""-978540985""","0","146","73","42.579337712087536","146"
"1","148","250","100","3.4000000000000004","5.4","0.2","10","100","""byPackets""","5","1","10","""-1250299563""","0","123","61.5","35.939764421413045","123"
"1","149","250","100","3.4000000000000004","5.4","0.2","10","100","""byPackets""","5","1","10","""1226896910""","0","132","66","38.537860172389784","132"
"1","150","250","100","3.4000000000000004","5.4","0.2","10","100","""byPackets""","5","1","10","""480112714""","0","151","75.5","44.02272140611028","151"
"1","151","250","100","9.8","7.4","4.800000000000001","10","100","""byPackets""","5","1","4.4","""-1070455757""","0","113","56.5","33.05298776207682","113"
"1","152","250","100","9.8","7.4","4.800000000000001","10","100","""byPackets""","5","1","4.4","""1040900949""","0","112","56","32.76430985081175","112"
"1","153","250","100","9.8","7.4","4.800000000000001","10","100","""byPackets""","5","1","4.4","""-1848082139""","0","110","55","32.18695387886216","110"
"1","154","250","100","9.8","7.4","4.800000000000001","10","100","""byPackets""","5","1","4.4","""-1297978840""","0","120","60","35.073731861133155","120"
"1","155","250","100","9.8","7.4","4.800000000000001","10","100","""byPackets""","5","1","4.4","""-1816467972""","0","118","59","34.49637662132068","118"
"1","156","250","100","8.6","5","3.4000000000000004","10","100","""byPackets""","5","1","7","""-394535385""","0","115","57.5","33.63034344160047","115"
"1","157","250","100","8.6","5","3.4000000000000004","10","100","""byPackets""","5","1","7","""-374909240""","0","114","57","33.34166562526033","114"
"1","158","250","100","8.6","5","3.4000000000000004","10","100","""byPackets""","5","1","7","""-49314075""","0","94","47","27.568097504180443","94"
"1","159","250","100","8.6","5","3.4000000000000004","10","100","""byPackets""","5","1","7","""1390847726""","0","133","66.5","38.82653731663435","133"
"1","160","250","100","8.6","5","3.4000000000000004","10","100","""byPackets""","5","1","7","""658142521""","0","123","61.5","35.939764421413045","123"
"1","161","250","100","6","1.8","2.8000000000000003","10","100","""byPackets""","5","1","0.8","""-723344923""","0","97","48.5","28.434134416225863","97"
"1","162","250","100","6","1.8","2.8000000000000003","10","100","""byPackets""","5","1","0.8","""-67736574""","0","95","47.5","27.85677655436824","95"
"1","163","250","100","6","1.8","2.8000000000000003","10","100","""byPackets""","5","1","0.8","""-1552608216""","0","110","55","32.18695387886216","110"
"1","164","250","100","6","1.8","2.8000000000000003","10","100","""byPackets""","5","1","0.8","""-1939221811""","0","118","59","34.49637662132068","118"
"1","165","250","100","6","1.8","2.8000000000000003","10","100","""byPackets""","5","1","0.8","""765241160""","0","135","67.5","39.403891516786345","135"
"1","166","250","100","5.2","8.8","1","10","100","""byPackets""","5","1","2.4000000000000004","""278525977""","0","121","60.5","35.36240942017385","121"
"1","167","250","100","5.2","8.8","1","10","100","""byPackets""","5","1","2.4000000000000004","""-1753764983""","0","189","94.5","54.99242372060597","189"
"1","168","250","100","5.2","8.8","1","10","100","""byPackets""","5","1","2.4000000000000004","""-2075549179""","0","156","78","45.466104590856105","156"
"1","169","250","100","5.2","8.8","1","10","100","""byPackets""","5","1","2.4000000000000004","""-1841782784""","0","141","70.5","41.13595345517916","141"
"1","170","250","100","5.2","8.8","1","10","100","""byPackets""","5","1","2.4000000000000004","""1772816730""","0","120","60","35.073731861133155","120"
"1","171","250","100","4","8.8","1.2000000000000002","10","100","""byPackets""","5","1","4.2","""823142473""","0","154","77","44.88875137492688","154"
"1","172","250","100","4","8.8","1.2000000000000002","10","100","""byPackets""","5","1","4.2","""1089999369""","0","153","76.5","44.60007473835292","153"
"1","173","250","100","4","8.8","1.2000000000000002","10","100","""byPackets""","5","1","4.2","""1433814470""","0","124","62","36.2284418654736","124"
"1","174","250","100","4","8.8","1.2000000000000002","10","100","""byPackets""","5","1","4.2","""-1691827589""","0","150","75","43.734044709661454","150"
"1","175","250","100","4","8.8","1.2000000000000002","10","100","""byPackets""","5","1","4.2","""1747897579""","0","134","67","39.11521443121589","134"
"1","176","250","100","1.8","6.2","10","10","100","""byPackets""","5","1","6.800000000000001","""1633566843""","0","132","66","38.537860172389784","132"
"1","177","250","100","1.8","6.2","10","10","100","""byPackets""","5","1","6.800000000000001","""1899517919""","0","125","62.5","36.51711927302043","125"
"1","178","250","100","1.8","6.2","10","10","100","""byPackets""","5","1","6.800000000000001","""99102486""","0","127","63.5","37.094473981982816","127"
"1","179","250","100","1.8","6.2","10","10","100","""byPackets""","5","1","6.800000000000001","""51476873""","0","126","63","36.8057966449127","126"
"1","180","250","100","1.8","6.2","10","10","100","""byPackets""","5","1","6.800000000000001","""1460051510""","0","124","62","36.2284418654736","124"
"1","181","250","100","7.6000000000000005","7.800000000000001","3.6","10","100","""byPackets""","5","1","5.4","""-2079646888""","0","114","57","33.34166562526033","114"
"1","182","250","100","7.6000000000000005","7.800000000000001","3.6","10","100","""byPackets""","5","1","5.4","""-2068367805""","0","142","71","41.42463035441596","142"
"1","183","250","100","7.6000000000000005","7.800000000000001","3.6","10","100","""byPackets""","5","1","5.4","""2090858299""","0","106","53","31.0322412983658","106"
"1","184","250","100","7.6000000000000005","7.800000000000001","3.6","10","100","""byPackets""","5","1","5.4","""1283971034""","0","140","70","40.847276531000205","140"
"1","185","250","100","7.6000000000000005","7.800000000000001","3.6","10","100","""byPackets""","5","1","5.4","""2027762295""","0","143","71.5","41.71330722922842","143"
"1","186","250","100","4.800000000000001","2.6","6.2","10","100","""byPackets""","5","1","9.200000000000001","""1216614556""","0","94","47","27.568097504180443","94"
"1","187","250","100","4.800000000000001","2.6","6.2","10","100","""byPackets""","5","1","9.200000000000001","""-558411700""","0","97","48.5","28.434134416225863","97"
"1","188","250","100","4.800000000000001","2.6","6.2","10","100","""byPackets""","5","1","9.200000000000001","""371887828""","0","107","53.5","31.32091952673165","107"
"1","189","250","100","4.800000000000001","2.6","6.2","10","100","""byPackets""","5","1","9.200000000000001","""-1078431103""","0","121","60.5","35.36240942017385","121"
"1","190","250","100","4.800000000000001","2.6","6.2","10","100","""byPackets""","5","1","9.200000000000001","""-1423570539""","0","105","52.5","30.743563011900015","105"
"1","191","250","100","9.8","8.6","5","10","100","""byPackets""","5","1","3","""251269151""","0","92","46","26.99073915253156","92"
"1","192","250","100","9.8","8.6","5","10","100","""byPackets""","5","1","3","""-1775142214""","0","114","57","33.34166562526033","114"
"1","193","250","100","9.8","8.6","5","10","100","""byPackets""","5","1","3","""-432335358""","0","118","59","34.49637662132068","118"
"1","194","250","100","9.8","8.6","5","10","100","""byPackets""","5","1","3","""430751667""","0","105","52.5","30.743563011900015","105"
"1","195","250","100","9.8","8.6","5","10","100","""byPackets""","5","1","3","""-1889314899""","0","129","64.5","37.67182855485869","129"
"1","196","250","100","6.2","0","6.2","10","100","""byPackets""","5","1","9","""-917914027""","0","115","57.5","33.63034344160047","115"
"1","197","250","100","6.2","0","6.2","10","100","""byPackets""","5","1","9","""1956423633""","0","123","61.5","35.939764421413045","123"
"1","198","250","100","6.2","0","6.2","10","100","""byPackets""","5","1","9","""1388705106""","0","146","73","42.579337712087536","146"
"1","199","250","100","6.2","0","6.2","10","100","""byPackets""","5","1","9","""-1030708632""","0","88","44","25.836021365527625","88"
